DATE,NumTrips,PRCP,AWND,TAVG,MONTH
2017-01-01,-0.732,0.0,4.25,47,2017-01
2017-01-02,-1.8585,0.35,7.83,44,2017-01
2017-01-03,-0.8676,0.86,5.82,44,2017-01
2017-01-04,0.7182,0.0,9.84,48,2017-01
2017-01-05,0.2672,0.0,6.49,35,2017-01
2017-01-06,-0.032,0.0,12.3,33,2017-01
2017-01-07,-1.779,0.01,14.76,25,2017-01
2017-01-08,-1.7275,0.0,14.32,20,2017-01
2017-01-09,-0.4747,0.0,8.5,21,2017-01
2017-01-10,-0.0153,0.0,12.08,27,2017-01
2017-01-11,0.7563,0.07,9.4,44,2017-01
2017-01-12,1.6036,0.02,18.57,57,2017-01
2017-01-13,1.1112,0.0,12.53,56,2017-01
2017-01-14,-1.7535,0.29,4.92,39,2017-01
2017-01-15,-0.1351,0.0,5.82,40,2017-01
2017-01-16,-0.536,0.01,5.59,41,2017-01
2017-01-17,-0.0301,0.21,4.92,44,2017-01
2017-01-18,0.7925,0.0,11.18,51,2017-01
2017-01-19,0.8069,0.0,6.26,48,2017-01
2017-01-20,-0.0338,0.01,3.58,44,2017-01
2017-01-21,1.1697,0.0,5.14,48,2017-01
2017-01-22,-0.7306,0.15,8.5,49,2017-01
2017-01-23,-1.2699,0.67,21.92,47,2017-01
2017-01-24,0.813,0.03,15.21,42,2017-01
2017-01-25,1.5725,0.0,6.04,51,2017-01
2017-01-26,1.1186,0.0,11.63,52,2017-01
2017-01-27,0.5798,0.0,14.32,43,2017-01
2017-01-28,-0.0389,0.0,8.05,40,2017-01
2017-01-29,-0.1806,0.0,6.93,41,2017-01
2017-01-30,-0.1017,0.07,10.07,36,2017-01
2017-01-31,0.9872,0.0,8.72,39,2017-01
2017-02-01,0.0668,0.0,5.37,43,2017-02
2017-02-02,-0.1946,0.0,8.05,46,2017-02
2017-02-03,-0.6915,0.0,10.96,37,2017-02
2017-02-04,-1.4713,0.0,9.84,32,2017-02
2017-02-05,-1.165,0.0,9.62,40,2017-02
2017-02-06,0.1423,0.0,7.61,45,2017-02
2017-02-07,0.7699,0.0,13.2,56,2017-02
2017-02-08,1.1396,0.0,9.84,63,2017-02
2017-02-09,-1.2189,0.12,20.8,43,2017-02
2017-02-10,-0.9471,0.0,11.41,30,2017-02
2017-02-11,-0.5666,0.0,5.14,42,2017-02
2017-02-12,-1.5091,0.03,9.4,48,2017-02
2017-02-13,-0.7719,0.0,18.57,45,2017-02
2017-02-14,-0.3024,0.0,6.93,38,2017-02
2017-02-15,-0.2683,0.0,10.51,43,2017-02
2017-02-16,-0.7436,0.0,13.42,37,2017-02
2017-02-17,-0.3595,0.0,4.03,37,2017-02
2017-02-18,1.1876,0.0,6.71,45,2017-02
2017-02-19,1.9172,0.01,9.17,61,2017-02
2017-02-20,0.8876,0.0,6.93,58,2017-02
2017-02-21,0.3292,0.0,6.93,50,2017-02
2017-02-22,0.7083,0.0,6.71,51,2017-02
2017-02-23,1.6449,0.0,10.29,60,2017-02
2017-02-24,2.1908,0.0,10.51,64,2017-02
2017-02-25,0.0412,0.18,14.54,63,2017-02
2017-02-26,-0.7831,0.0,11.18,44,2017-02
2017-02-27,0.0816,0.0,6.49,45,2017-02
2017-02-28,-0.1142,0.34,4.92,55,2017-02
2017-03-01,0.3396,0.02,17.22,63,2017-03
2017-03-02,0.0697,0.01,17.9,54,2017-03
2017-03-03,-0.3762,0.0,14.54,40,2017-03
2017-03-04,-0.8429,0.0,12.3,35,2017-03
2017-03-05,-0.9339,0.0,7.61,32,2017-03
2017-03-06,0.2135,0.0,6.26,41,2017-03
2017-03-07,0.1494,0.07,10.29,56,2017-03
2017-03-08,0.9779,0.01,12.53,59,2017-03
2017-03-09,1.4373,0.0,9.17,60,2017-03
2017-03-10,-0.6141,0.09,15.66,49,2017-03
2017-03-11,-0.8964,0.0,14.54,33,2017-03
2017-03-12,-1.0549,0.0,11.18,33,2017-03
2017-03-13,-0.463,0.34,9.84,35,2017-03
2017-03-14,-2.0274,0.89,21.25,34,2017-03
2017-03-15,-1.4589,0.0,18.34,27,2017-03
2017-03-16,-0.8762,0.0,11.18,33,2017-03
2017-03-17,-0.227,0.01,6.04,40,2017-03
2017-03-18,0.1053,0.37,7.38,46,2017-03
2017-03-19,-0.713,0.26,14.32,44,2017-03
2017-03-20,0.444,0.0,6.71,46,2017-03
2017-03-21,0.863,0.0,6.71,52,2017-03
2017-03-22,0.127,0.0,16.55,51,2017-03
2017-03-23,0.224,0.0,7.61,38,2017-03
2017-03-24,0.3745,0.13,13.2,45,2017-03
2017-03-25,2.649,0.0,8.5,63,2017-03
2017-03-26,-0.4146,0.0,11.41,53,2017-03
2017-03-27,1.1047,0.01,4.7,54,2017-03
2017-03-28,0.8092,0.02,8.05,65,2017-03
2017-03-29,1.5593,0.0,10.96,62,2017-03
2017-03-30,0.7708,0.0,9.17,52,2017-03
2017-03-31,-1.3199,0.96,9.17,49,2017-03